frame,scenario,n_bacteria,n_phages
186,Refuge-Only,5041,0
187,Refuge-Only,5041,0
188,Refuge-Only,5041,0
189,Refuge-Only,5041,0
190,Refuge-Only,5041,0
191,Refuge-Only,5041,0
192,Refuge-Only,5041,0
193,Refuge-Only,5041,0
194,Refuge-Only,5041,0
195,Refuge-Only,5041,0
196,Refuge-Only,5041,0
197,Refuge-Only,5041,0
198,Refuge-Only,5041,0
199,Refuge-Only,5041,0
0,Repertoire-Only,100,0
1,Repertoire-Only,121,0
2,Repertoire-Only,145,0
3,Repertoire-Only,171,0
4,Repertoire-Only,200,0
5,Repertoire-Only,233,0
6,Repertoire-Only,265,0
7,Repertoire-Only,304,0
8,Repertoire-Only,343,0
9,Repertoire-Only,375,0
10,Repertoire-Only,409,142
11,Repertoire-Only,449,138
12,Repertoire-Only,493,134
13,Repertoire-Only,542,130
14,Repertoire-Only,593,127
15,Repertoire-Only,652,126
16,Repertoire-Only,710,120
17,Repertoire-Only,765,111
18,Repertoire-Only,819,108
19,Repertoire-Only,890,105
20,Repertoire-Only,952,101
21,Repertoire-Only,1031,99
22,Repertoire-Only,1105,94
23,Repertoire-Only,1172,92
24,Repertoire-Only,1254,89
25,Repertoire-Only,1336,86
26,Repertoire-Only,1421,82
27,Repertoire-Only,1502,81
28,Repertoire-Only,1582,78
29,Repertoire-Only,1671,77
30,Repertoire-Only,1761,75
31,Repertoire-Only,1860,70
32,Repertoire-Only,1958,70
33,Repertoire-Only,2049,68
34,Repertoire-Only,2151,67
35,Repertoire-Only,2255,66
36,Repertoire-Only,2366,64
37,Repertoire-Only,2476,59
38,Repertoire-Only,2581,55
39,Repertoire-Only,2691,53
40,Repertoire-Only,2808,49
41,Repertoire-Only,2929,46
42,Repertoire-Only,3057,45
43,Repertoire-Only,3194,43
44,Repertoire-Only,3315,42
45,Repertoire-Only,3432,40
46,Repertoire-Only,3550,39
47,Repertoire-Only,3657,38
48,Repertoire-Only,3757,37
49,Repertoire-Only,3851,37
50,Repertoire-Only,3938,35
51,Repertoire-Only,4013,34
52,Repertoire-Only,4084,33
53,Repertoire-Only,4161,33
54,Repertoire-Only,4229,31
55,Repertoire-Only,4304,30
56,Repertoire-Only,4371,29
57,Repertoire-Only,4433,29
58,Repertoire-Only,4490,27
59,Repertoire-Only,4540,27
60,Repertoire-Only,4591,27
61,Repertoire-Only,4636,26
62,Repertoire-Only,4678,26
63,Repertoire-Only,4723,25
64,Repertoire-Only,4761,23
65,Repertoire-Only,4805,23
66,Repertoire-Only,4843,23
67,Repertoire-Only,4879,22
68,Repertoire-Only,4907,21
69,Repertoire-Only,4934,21
70,Repertoire-Only,4960,20
71,Repertoire-Only,4979,20
72,Repertoire-Only,4991,20
73,Repertoire-Only,5003,20
74,Repertoire-Only,5012,19
75,Repertoire-Only,5019,17
76,Repertoire-Only,5024,17
77,Repertoire-Only,5024,17
78,Repertoire-Only,5024,17
79,Repertoire-Only,5024,17
80,Repertoire-Only,5024,17
81,Repertoire-Only,5024,16
82,Repertoire-Only,5025,15
83,Repertoire-Only,5026,15
84,Repertoire-Only,5026,14
85,Repertoire-Only,5027,14
86,Repertoire-Only,5027,14
87,Repertoire-Only,5027,14
88,Repertoire-Only,5027,14
89,Repertoire-Only,5027,14
90,Repertoire-Only,5027,14
91,Repertoire-Only,5027,12
92,Repertoire-Only,5029,11
93,Repertoire-Only,5030,10
94,Repertoire-Only,5031,10
95,Repertoire-Only,5031,10
96,Repertoire-Only,5031,10
97,Repertoire-Only,5031,8
98,Repertoire-Only,5032,8
99,Repertoire-Only,5033,8
100,Repertoire-Only,5033,8
101,Repertoire-Only,5033,7
102,Repertoire-Only,5034,6
103,Repertoire-Only,5035,6
104,Repertoire-Only,5035,6
105,Repertoire-Only,5035,5
106,Repertoire-Only,5036,5
107,Repertoire-Only,5036,5
108,Repertoire-Only,5036,4
109,Repertoire-Only,5037,4
110,Repertoire-Only,5037,4
111,Repertoire-Only,5037,4
112,Repertoire-Only,5037,4
113,Repertoire-Only,5037,4
114,Repertoire-Only,5037,4
115,Repertoire-Only,5037,2
116,Repertoire-Only,5039,2
117,Repertoire-Only,5039,2
118,Repertoire-Only,5039,2
119,Repertoire-Only,5039,2
120,Repertoire-Only,5039,2
121,Repertoire-Only,5039,2
122,Repertoire-Only,5039,2
123,Repertoire-Only,5039,2
124,Repertoire-Only,5039,2
125,Repertoire-Only,5039,2
126,Repertoire-Only,5039,2
127,Repertoire-Only,5039,2
128,Repertoire-Only,5039,1
129,Repertoire-Only,5040,1
130,Repertoire-Only,5040,1
131,Repertoire-Only,5040,1
132,Repertoire-Only,5040,1
133,Repertoire-Only,5040,1
134,Repertoire-Only,5040,1
135,Repertoire-Only,5040,1
136,Repertoire-Only,5040,1
137,Repertoire-Only,5040,1
138,Repertoire-Only,5040,1
139,Repertoire-Only,5040,1
140,Repertoire-Only,5040,1
141,Repertoire-Only,5040,1
142,Repertoire-Only,5040,1
143,Repertoire-Only,5040,1
144,Repertoire-Only,5040,1
145,Repertoire-Only,5040,1
146,Repertoire-Only,5040,1
147,Repertoire-Only,5040,1
148,Repertoire-Only,5040,1
149,Repertoire-Only,5040,1
150,Repertoire-Only,5040,1
151,Repertoire-Only,5040,1
152,Repertoire-Only,5040,1
153,Repertoire-Only,5040,1
154,Repertoire-Only,5040,1
155,Repertoire-Only,5040,1
156,Repertoire-Only,5040,1
157,Repertoire-Only,5040,1
158,Repertoire-Only,5040,1
159,Repertoire-Only,5040,1
160,Repertoire-Only,5040,1
161,Repertoire-Only,5040,1
162,Repertoire-Only,5040,1
163,Repertoire-Only,5040,1
164,Repertoire-Only,5040,1
165,Repertoire-Only,5040,1
166,Repertoire-Only,5040,1
167,Repertoire-Only,5040,1
168,Repertoire-Only,5040,1
169,Repertoire-Only,5040,1
170,Repertoire-Only,5040,0
171,Repertoire-Only,5041,0
172,Repertoire-Only,5041,0
173,Repertoire-Only,5041,0
174,Repertoire-Only,5041,0
175,Repertoire-Only,5041,0
176,Repertoire-Only,5041,0
177,Repertoire-Only,5041,0
178,Repertoire-Only,5041,0
179,Repertoire-Only,5041,0
180,Repertoire-Only,5041,0
181,Repertoire-Only,5041,0
182,Repertoire-Only,5041,0
183,Repertoire-Only,5041,0
184,Repertoire-Only,5041,0
185,Repertoire-Only,5041,0
186,Repertoire-Only,5041,0
187,Repertoire-Only,5041,0
188,Repertoire-Only,5041,0
189,Repertoire-Only,5041,0
190,Repertoire-Only,5041,0
191,Repertoire-Only,5041,0
192,Repertoire-Only,5041,0
193,Repertoire-Only,5041,0
194,Repertoire-Only,5041,0
195,Repertoire-Only,5041,0
196,Repertoire-Only,5041,0
197,Repertoire-Only,5041,0
198,Repertoire-Only,5041,0
199,Repertoire-Only,5041,0
0,Hybrid,99,0
1,Hybrid,116,0
2,Hybrid,133,0
3,Hybrid,156,0
4,Hybrid,178,0
5,Hybrid,203,0
6,Hybrid,228,0
7,Hybrid,248,0
8,Hybrid,273,0
9,Hybrid,301,0
10,Hybrid,330,147
11,Hybrid,360,143
